Time,L1,L2,L3,label
2024-06-05 22:07:00,1300.0,1160.0,2390.0,0
2024-06-05 22:08:00,2290.0,2570.0,2890.0,0
2024-06-05 22:09:00,2400.0,2650.0,3040.0,0
2024-06-05 22:10:00,2640.0,2790.0,2500.0,0
2024-06-05 22:11:00,1290.0,1110.0,1700.0,1
2024-06-05 22:12:00,1860.0,1730.0,1960.0,0
2024-06-05 22:13:00,1070.0,1160.0,1680.0,1
2024-06-05 22:14:00,1560.0,1850.0,1620.0,0
2024-06-05 22:15:00,1680.0,1900.0,1690.0,0
2024-06-05 22:16:00,1680.0,1760.0,3320.0,0
2024-06-05 22:17:00,1640.0,1730.0,1330.0,0
2024-06-05 22:18:00,1660.0,1790.0,1310.0,0
2024-06-05 22:19:00,1640.0,1800.0,2700.0,0
2024-06-05 22:20:00,1650.0,1940.0,1280.0,0
2024-06-05 22:21:00,1560.0,1900.0,1410.0,0
2024-06-05 22:22:00,1680.0,1690.0,2010.0,0
2024-06-05 22:23:00,1640.0,1810.0,1520.0,0
2024-06-05 22:24:00,1650.0,1760.0,1870.0,0
2024-06-05 22:25:00,1650.0,1740.0,2350.0,0
2024-06-05 22:26:00,1670.0,1830.0,2380.0,0
2024-06-05 22:27:00,1650.0,1730.0,3040.0,0
2024-06-05 22:28:00,1620.0,1780.0,3270.0,0
2024-06-05 22:29:00,1080.0,1110.0,1140.0,1
2024-06-05 22:30:00,1080.0,1110.0,1720.0,1
2024-06-05 22:31:00,1070.0,1120.0,2120.0,1
2024-06-05 22:32:00,1060.0,1160.0,640.0,1
2024-06-05 22:33:00,1080.0,1140.0,1000.0,1
2024-06-05 22:34:00,1070.0,1180.0,1750.0,1
2024-06-05 22:35:00,1610.0,1740.0,1930.0,0
2024-06-05 22:36:00,1570.0,1750.0,1280.0,0
2024-06-05 22:37:00,1660.0,1800.0,1940.0,0
2024-06-05 22:38:00,1620.0,1670.0,1970.0,0
2024-06-05 22:39:00,1670.0,2010.0,2180.0,0
2024-06-05 22:40:00,1740.0,1990.0,1970.0,0
2024-06-05 22:41:00,1640.0,1710.0,2140.0,0
2024-06-05 22:42:00,1690.0,1810.0,2170.0,0
2024-06-05 22:43:00,1320.0,1110.0,1310.0,1
2024-06-05 22:44:00,1820.0,1690.0,1930.0,0
2024-06-05 22:45:00,1890.0,1820.0,1480.0,0
2024-06-05 22:46:00,1840.0,1770.0,2530.0,0
2024-06-05 22:47:00,1920.0,2030.0,2010.0,0
2024-06-05 22:48:00,1870.0,1850.0,1440.0,0
2024-06-05 22:49:00,1890.0,1890.0,2480.0,0
2024-06-05 22:50:00,1830.0,1800.0,2730.0,0
2024-06-05 22:51:00,1870.0,1710.0,2330.0,0
2024-06-05 22:52:00,1870.0,1940.0,3360.0,0
2024-06-05 22:53:00,1860.0,1780.0,2390.0,0
2024-06-05 22:54:00,1280.0,1160.0,1400.0,1
2024-06-05 22:55:00,1310.0,1120.0,2620.0,0
2024-06-05 22:56:00,1300.0,1130.0,1390.0,1
2024-06-05 22:57:00,1830.0,1810.0,1630.0,0
2024-06-05 22:58:00,1820.0,1750.0,1660.0,0
2024-06-05 22:59:00,1960.0,1860.0,2440.0,0
2024-06-05 23:00:00,1880.0,1850.0,2310.0,0
2024-06-05 23:01:00,1840.0,1720.0,1640.0,0
2024-06-05 23:02:00,1910.0,1800.0,1670.0,0
2024-06-05 23:03:00,1900.0,1790.0,2000.0,0
2024-06-05 23:04:00,1830.0,1830.0,1220.0,0
2024-06-05 23:05:00,1860.0,1930.0,1940.0,0
2024-06-05 23:06:00,1870.0,1790.0,2010.0,0
2024-06-05 23:07:00,1300.0,1280.0,282.0,1
2024-06-05 23:08:00,1310.0,1350.0,1430.0,1
2024-06-05 23:09:00,1300.0,1180.0,1410.0,1
2024-06-05 23:10:00,1310.0,1290.0,1510.0,1
2024-06-05 23:11:00,1300.0,1210.0,1420.0,1
2024-06-05 23:12:00,1310.0,1160.0,1760.0,0
2024-06-05 23:13:00,2290.0,2310.0,2880.0,0
2024-06-05 23:14:00,2450.0,2410.0,2930.0,0
2024-06-05 23:15:00,1890.0,1780.0,2610.0,0
2024-06-05 23:16:00,1870.0,1790.0,1970.0,0
2024-06-05 23:17:00,1850.0,1820.0,1980.0,0
2024-06-05 23:18:00,1840.0,1930.0,3020.0,0
2024-06-05 23:19:00,1280.0,1150.0,1030.0,1
2024-06-05 23:20:00,1310.0,1170.0,1760.0,0
2024-06-05 23:21:00,1290.0,1210.0,1790.0,0
2024-06-05 23:22:00,1310.0,1310.0,1200.0,1
2024-06-05 23:23:00,1290.0,1170.0,1420.0,1
2024-06-05 23:24:00,1300.0,1130.0,1390.0,1
2024-06-05 23:25:00,2300.0,2540.0,2560.0,0
2024-06-05 23:26:00,2070.0,2380.0,3370.0,0
2024-06-05 23:27:00,1590.0,1910.0,1770.0,0
2024-06-05 23:28:00,1550.0,1750.0,1370.0,0
2024-06-05 23:29:00,1630.0,1880.0,1080.0,0
2024-06-05 23:30:00,1580.0,1780.0,1810.0,0
2024-06-05 23:31:00,958.0,1080.0,1160.0,1
2024-06-05 23:32:00,979.0,1090.0,1530.0,1
2024-06-05 23:33:00,973.0,1190.0,2240.0,1
2024-06-05 23:34:00,967.0,1190.0,2580.0,0
2024-06-05 23:35:00,971.0,1170.0,1550.0,1
2024-06-05 23:36:00,961.0,1140.0,1530.0,1
2024-06-05 23:37:00,1960.0,2360.0,3500.0,0
2024-06-05 23:38:00,2120.0,2440.0,3230.0,0
2024-06-05 23:39:00,1590.0,1680.0,2140.0,0
2024-06-05 23:40:00,1500.0,1900.0,2120.0,0
2024-06-05 23:41:00,1540.0,1930.0,2490.0,0
2024-06-05 23:42:00,957.0,1030.0,1580.0,1
2024-06-05 23:43:00,985.0,1030.0,777.0,1
2024-06-05 23:44:00,976.0,1210.0,406.0,1
2024-06-05 23:45:00,978.0,1150.0,1530.0,1
2024-06-05 23:46:00,976.0,1150.0,778.0,1
2024-06-05 23:47:00,984.0,1130.0,399.0,1
2024-06-05 23:48:00,973.0,948.0,797.0,1
2024-06-05 23:49:00,2010.0,2380.0,2360.0,0
2024-06-05 23:50:00,2130.0,2590.0,2030.0,0
2024-06-05 23:51:00,1540.0,1630.0,1380.0,0
2024-06-05 23:52:00,1640.0,1710.0,1090.0,0
2024-06-05 23:53:00,1020.0,1170.0,1190.0,1
2024-06-05 23:54:00,973.0,1060.0,445.0,1
2024-06-05 23:55:00,974.0,1050.0,24.1,1
2024-06-05 23:56:00,987.0,1120.0,1150.0,1
2024-06-05 23:57:00,975.0,1110.0,796.0,1
2024-06-05 23:58:00,977.0,1070.0,1060.0,1
2024-06-05 23:59:00,1900.0,2230.0,2290.0,0
2024-06-06 00:00:00,2120.0,2470.0,2720.0,0
2024-06-06 00:01:00,2320.0,2650.0,2500.0,0
2024-06-06 00:02:00,1530.0,1770.0,2490.0,0
2024-06-06 00:03:00,1500.0,1710.0,1770.0,0
2024-06-06 00:04:00,1580.0,1930.0,1960.0,0
2024-06-06 00:05:00,1590.0,1800.0,1460.0,0
2024-06-06 00:06:00,961.0,1090.0,800.0,1
2024-06-06 00:07:00,978.0,1040.0,1170.0,1
2024-06-06 00:08:00,963.0,1060.0,770.0,1
2024-06-06 00:09:00,962.0,1040.0,1170.0,1
2024-06-06 00:10:00,982.0,994.0,777.0,1
2024-06-06 00:11:00,1410.0,1730.0,1350.0,0
2024-06-06 00:12:00,1880.0,2480.0,2790.0,0
2024-06-06 00:13:00,1860.0,2610.0,2470.0,0
2024-06-06 00:14:00,1860.0,2380.0,2200.0,0
2024-06-06 00:15:00,1850.0,2540.0,3190.0,0
2024-06-06 00:16:00,1850.0,2510.0,1780.0,0
2024-06-06 00:17:00,1860.0,2430.0,2150.0,0
2024-06-06 00:18:00,1820.0,2540.0,2900.0,0
2024-06-06 00:19:00,1860.0,2520.0,2840.0,0
2024-06-06 00:20:00,1830.0,2420.0,2150.0,0
2024-06-06 00:21:00,1870.0,2390.0,2730.0,0
2024-06-06 00:22:00,1820.0,2480.0,2520.0,0
2024-06-06 00:23:00,1830.0,2500.0,2550.0,0
2024-06-06 00:24:00,1820.0,2570.0,4000.0,0
2024-06-06 00:25:00,1850.0,2470.0,3290.0,0
2024-06-06 00:26:00,1850.0,2460.0,2920.0,0
2024-06-06 00:27:00,1870.0,2500.0,3240.0,0
2024-06-06 00:28:00,1830.0,2460.0,2630.0,0
2024-06-06 00:29:00,1220.0,1760.0,1480.0,0
2024-06-06 00:30:00,1210.0,1860.0,2610.0,0
2024-06-06 00:31:00,537.0,1250.0,1180.0,1
2024-06-06 00:32:00,1480.0,2210.0,2090.0,0
2024-06-06 00:33:00,1450.0,2070.0,2840.0,0
2024-06-06 00:34:00,2420.0,2780.0,2800.0,0
2024-06-06 00:35:00,2370.0,2650.0,2980.0,0
2024-06-06 00:36:00,2290.0,2490.0,3640.0,0
2024-06-06 00:37:00,2330.0,2870.0,2600.0,0
2024-06-06 00:38:00,2270.0,2640.0,2110.0,0
2024-06-06 00:39:00,2240.0,2640.0,2980.0,0
2024-06-06 00:40:00,2210.0,2520.0,1520.0,0
2024-06-06 00:41:00,2160.0,2360.0,1790.0,0
2024-06-06 00:42:00,2110.0,2370.0,3130.0,0
2024-06-06 00:43:00,2130.0,2540.0,2610.0,0
2024-06-06 00:44:00,2100.0,2400.0,2320.0,0
2024-06-06 00:45:00,2030.0,2540.0,2860.0,0
2024-06-06 00:46:00,2110.0,2440.0,1550.0,0
2024-06-06 00:47:00,1520.0,1870.0,1730.0,0
2024-06-06 00:48:00,1570.0,1680.0,2080.0,0
2024-06-06 00:49:00,1550.0,1530.0,1320.0,0
2024-06-06 00:50:00,982.0,864.0,440.0,1
2024-06-06 00:51:00,989.0,939.0,1500.0,1
2024-06-06 00:52:00,1500.0,1810.0,1360.0,0
2024-06-06 00:53:00,1990.0,2450.0,1920.0,0
2024-06-06 00:54:00,2110.0,2570.0,3090.0,0
2024-06-06 00:55:00,1530.0,2020.0,2090.0,0
2024-06-06 00:56:00,1550.0,1270.0,1050.0,1
2024-06-06 00:57:00,1550.0,1730.0,2460.0,0
2024-06-06 00:58:00,1550.0,1790.0,1050.0,0
2024-06-06 00:59:00,1580.0,1880.0,1020.0,0
2024-06-06 01:00:00,1550.0,1770.0,2530.0,0
